INDICATOR_ID,INDICATOR_NAME_RAW
120,Inspeções realizadas pelo IBRAM
121,"Internações por  ano por enfermidades diarréicas agudas (de transmissão hídrica) em menores de 5 anos (casa 100.000 habitantes) na área de intervenção do Programa e áreas vizinhas (Bairros: Itacaranha, Rio Sena, Alto da Terezinha e Plataforma)"
122,Aumento do valor dos imóveis localizados na área das lagoas (econômico)
123,Capacidade de retenção de águas no trecho superior da bacia do rio Tietê
124,Residências inundadas na área de intervenção do Programa
125,Superficie às margens do rio Ipojuca e entorno de reservatórios reabilitadas para proteção dos recursos hídricos.
126,Valor médio do aluguel dos imóveis localizados a até 650 m das margens dos córrego Macambira
127,Visitantes ao município de Maués
128,Débitos recuperados
129,Percentagem de estações hidrometeorológicas reabilitadas e em funcionamento.
130,Famílias conectadas ao sistema de tratamento secundário de esgoto (Sistema Baixada Fluminense)
131,Concentração de OD (Oxigenio Dissolvido) no ponto de monitoramento NA 741 (Estação Alcantara)
132,Aumento do Índice de Salubridade Ambiental (ISA) da Bacia do Córrego N. Sra da Piedade
133,"Amostras de água em Porto de Galinhas que cumprem com as normas nacionais de qualidade de água, segundo os procedimentos estabelecidos pelo Ministério  da Saúde -  No 2914/2011."
134,DBO5 (Demanda bioquímica de Oxigênio) no Ponto 1
135,Documentos disponíveis em tempo real
136,Carga contaminada interceptada nos cursos d'água
137,Resíduos sólidos coletados nos pontos de intervenção do programa piloto
138,Famílias que habitam em área de risco de alagamento no Igarapé Mestre Chico
139,R10. Relatório anual das brechas de gênero disponíveis na Secretaria Municipal da Mulher
140,Domicílios protegidos de riscos de Inundação
141,"R04: Domicílios com acesso a rede domiciliar de agua potável com qualidade do serviço (pressão, qualidade e regularidade e continuidade) melhorado nas sub bacias 1 e 2 da Bacia da Estrada Nova"
142,Tempo de análise de EIA/RIMA no âmbito do IBRAM-SEMA-CONAM
143,Número de Acessos ao Sistema de Gestão Ambiental
144,R8. Porcentagem anual do valor da obra em operação no Programa destinado para manutenção
145,Resíduos sólidos municipais tratados e/ou com disposição final adequada no DF
146,R01: Usuários do parque construído pelo Programa
147,Indicador de Padrões de Efluentes de Esgotos
148,Vazão de produção
149,Valorização de imóveis situados a até 200 metros das obras
150,Resíduos sólidos gerados na cidade de Maués enviado ao aterro sanitário considerando uma produção de 25 t/dia
